iter	MultiClass
0	1.067859656
1	1.038293683
2	1.01350084
3	0.9919393772
4	0.972268523
5	0.9537570051
6	0.9367304468
7	0.9208703102
8	0.9057030676
9	0.8902754748
10	0.8782948845
11	0.8676750305
12	0.8577026856
13	0.8453438785
14	0.8351277854
15	0.8273919609
16	0.8198035169
17	0.8110645964
18	0.8032312874
19	0.7953579126
20	0.7894738607
21	0.7837110466
22	0.7766933563
23	0.7707852249
24	0.7645335378
25	0.7572736156
26	0.751118239
27	0.7466777852
28	0.7421202927
29	0.7380704609
30	0.7336407939
31	0.7287766803
32	0.7251184438
33	0.7216985654
34	0.7180257989
35	0.7133895186
36	0.7102517138
37	0.7070574372
38	0.703976961
39	0.7003301441
40	0.6979720713
41	0.694280508
42	0.6916593025
43	0.688940858
44	0.6866963734
45	0.684837255
46	0.6821311862
47	0.6794424785
48	0.6774248643
49	0.675430706
50	0.6730279072
51	0.670415529
52	0.6683429663
53	0.6672276802
54	0.6650596585
55	0.6623905196
56	0.6608807179
57	0.6594807303
58	0.6576401704
59	0.6561415317
60	0.6547562248
61	0.6530046127
62	0.6513622872
63	0.6492730565
64	0.6475124196
65	0.6457318577
66	0.6441860859
67	0.6429241165
68	0.6406333394
69	0.6398171246
70	0.6383500394
71	0.6372670074
72	0.6363200989
73	0.6350321491
74	0.6337011942
75	0.6324758702
76	0.6314874939
77	0.6300462824
78	0.6284871616
79	0.6271918947
80	0.626473775
81	0.6253543489
82	0.6242001767
83	0.6230118318
84	0.6220520159
85	0.6207204667
86	0.6199692403
87	0.6184815858
88	0.617872911
89	0.6170432594
90	0.6157399929
91	0.6148580702
92	0.6137411139
93	0.6127583549
94	0.61223825
95	0.6108242999
96	0.6095575238
97	0.6087935178
98	0.6077556699
99	0.6067694794
100	0.6051615224
101	0.6043381492
102	0.6038545907
103	0.6029368649
104	0.6021015262
105	0.6017104626
106	0.6008890311
107	0.5994403902
108	0.5989045253
109	0.5982237608
110	0.5977202653
111	0.596705126
112	0.595416513
113	0.5945318537
114	0.5940195336
115	0.5933970434
116	0.5921341268
117	0.591571048
118	0.5905392365
119	0.5902515427
120	0.5889360343
121	0.5881690569
122	0.5874851159
123	0.5865906975
124	0.585951535
125	0.5852609148
126	0.5845624739
127	0.5840482192
128	0.5829776856
129	0.5823709259
130	0.5818014881
131	0.5812878449
132	0.5803606011
133	0.5794927388
134	0.578965252
135	0.5784977868
136	0.5775247018
137	0.5768905071
138	0.5763789836
139	0.5757168187
140	0.5749887604
141	0.5742769759
142	0.5735549484
143	0.5732340202
144	0.5728794296
145	0.5726178297
146	0.5723476095
147	0.57177104
148	0.5710468911
149	0.5699404122
150	0.5690695229
151	0.5684387829
152	0.5677495727
153	0.5672025374
154	0.5663282288
155	0.5656683337
156	0.5650925984
157	0.5639205958
158	0.5630004621
159	0.5620243408
160	0.561286355
161	0.5607152796
162	0.5599830283
163	0.5589655572
164	0.5584076605
165	0.5578152924
166	0.5568160243
167	0.5558643527
168	0.5551471992
169	0.5542334205
170	0.5535545462
171	0.5528505211
172	0.5522592191
173	0.5511552917
174	0.5499366728
175	0.5484065259
176	0.5478425
177	0.5469800089
178	0.5463113974
179	0.5459498269
180	0.5449207638
181	0.5440692728
182	0.5433420749
183	0.5420800644
184	0.5416984119
185	0.5407712521
186	0.5398917821
187	0.5391425719
188	0.538558404
189	0.5377442651
190	0.5368207031
191	0.5360626691
192	0.5351696636
193	0.533889939
194	0.5326665527
195	0.5316710829
196	0.531277537
197	0.5304089775
198	0.5296955798
199	0.5284619324
200	0.5275962732
201	0.5267189329
202	0.5259156735
203	0.5251820253
204	0.5239335019
205	0.5232239056
206	0.5222774283
207	0.5214620104
208	0.5204347264
209	0.5197987759
210	0.5190798212
211	0.5185928397
212	0.5176919379
213	0.5167527704
214	0.5162797718
215	0.5152849818
216	0.5142391497
217	0.5134096864
218	0.512340314
219	0.5116569465
220	0.5111468507
221	0.5100684384
222	0.5095667661
223	0.5083562602
224	0.5077845584
225	0.5069503088
226	0.5063884355
227	0.505705876
228	0.5050728793
229	0.5046612855
230	0.5039222666
231	0.5034157145
232	0.5028480526
233	0.5020981218
234	0.5013352484
235	0.5008627915
236	0.4994601681
237	0.4986714968
238	0.4976314801
239	0.4968882477
240	0.4962480058
241	0.4953668707
242	0.4947208084
243	0.4940566906
244	0.4933473882
245	0.492812254
246	0.4922210123
247	0.4915491305
248	0.4905879563
249	0.4899827384
250	0.4890830884
251	0.4884384921
252	0.4879728843
253	0.4873980741
254	0.4868882832
255	0.486071192
256	0.48541472
257	0.4848608081
258	0.4843151316
259	0.4832571938
260	0.4824650086
261	0.4816679455
262	0.4804757025
263	0.4795217331
264	0.4786222124
265	0.4775737675
266	0.4768206318
267	0.4758269705
268	0.4754521622
269	0.4745070167
270	0.4735287273
271	0.472932487
272	0.4721079356
273	0.4711188242
274	0.4706953569
275	0.4701858234
276	0.4696730652
277	0.4691514417
278	0.4687363033
279	0.4682404574
280	0.4677205049
281	0.4673234717
282	0.4664853955
283	0.4658315698
284	0.465137901
285	0.464359514
286	0.4637512434
287	0.4632697823
288	0.4621531888
289	0.4618771645
290	0.4616828847
291	0.4612622758
292	0.4605731986
293	0.4599465362
294	0.4593605524
295	0.4590066254
296	0.458503126
297	0.4577426111
298	0.4570465525
299	0.4565036363
300	0.4559903003
301	0.4547073065
302	0.4542024516
303	0.4534522349
304	0.4529166678
305	0.452265796
306	0.4515529847
307	0.4510976462
308	0.4507555314
309	0.4499149467
310	0.4496482328
311	0.4492041613
312	0.4488530393
313	0.4481740944
314	0.4477216896
315	0.4474585821
316	0.4470001906
317	0.4465887078
318	0.4458400099
319	0.4453487672
320	0.4446036754
321	0.4437945832
322	0.4428071679
323	0.4422675555
324	0.4414394612
325	0.4407471094
326	0.4401054999
327	0.4391143356
328	0.4383599592
329	0.4377275268
330	0.4372040915
331	0.4366515279
332	0.4364367821
333	0.4360037374
334	0.4358003051
335	0.4353341167
336	0.4347725783
337	0.4342167687
338	0.4335462577
339	0.433101268
340	0.4323585863
341	0.4318111716
342	0.4314404996
343	0.4306216597
344	0.4298424785
345	0.4294381713
346	0.428516944
347	0.4280300159
348	0.4274940493
349	0.4268474769
350	0.4262512696
351	0.4259805155
352	0.425207747
353	0.4245312839
354	0.4242462404
355	0.4234982104
356	0.422543461
357	0.4221611129
358	0.4218387775
359	0.4211653898
360	0.4206990809
361	0.4203333952
362	0.4199617454
363	0.4193722255
364	0.4191412473
365	0.4186072943
366	0.418062705
367	0.4175075868
368	0.41696346
369	0.4165741869
370	0.4158467866
371	0.4152613878
372	0.4149110191
373	0.4143878194
374	0.4140417822
375	0.4136233267
376	0.4127277086
377	0.4123033984
378	0.4116300853
379	0.4109954745
380	0.4104502226
381	0.4098696306
382	0.409170333
383	0.4084097763
384	0.4079213918
385	0.407404214
386	0.4067443295
387	0.4059963881
388	0.4054093224
389	0.4048392102
390	0.4045008654
391	0.4040485143
