iter	Passed	Remaining
0	51	25797
1	54	13488
2	56	9312
3	58	7270
4	60	6005
5	62	5143
6	64	4537
7	66	4098
8	68	3748
9	70	3469
10	72	3229
11	74	3033
12	76	2864
13	78	2709
14	80	2595
15	82	2501
16	85	2416
17	87	2332
18	89	2261
19	91	2191
20	93	2130
21	95	2080
22	98	2032
23	99	1981
24	101	1932
25	103	1888
26	105	1843
27	106	1801
28	108	1767
29	110	1738
30	112	1709
31	114	1674
32	116	1653
33	119	1635
34	121	1611
35	122	1583
36	124	1563
37	127	1556
38	129	1532
39	131	1512
40	133	1498
41	135	1480
42	137	1461
43	139	1444
44	141	1428
45	143	1415
46	145	1398
47	146	1382
48	148	1370
49	150	1355
50	152	1344
51	154	1333
52	156	1322
53	158	1309
54	160	1300
55	162	1288
56	164	1276
57	165	1263
58	167	1254
59	170	1248
60	172	1240
61	174	1232
62	176	1225
63	178	1215
64	180	1206
65	182	1198
66	184	1193
67	186	1186
68	188	1178
69	190	1173
70	193	1167
71	194	1159
72	196	1151
73	198	1144
74	200	1137
75	202	1129
76	204	1122
77	207	1120
78	209	1116
79	211	1112
80	213	1104
81	215	1100
82	217	1094
83	219	1087
84	222	1084
85	224	1079
86	226	1074
87	228	1071
88	230	1065
89	232	1059
90	234	1053
91	236	1047
92	238	1042
93	240	1039
94	243	1037
95	245	1032
96	247	1027
97	249	1024
98	251	1020
99	253	1015
100	256	1011
101	258	1007
102	260	1002
103	262	998
104	264	995
105	266	990
106	268	984
107	269	979
108	272	976
109	274	971
110	275	966
111	277	961
112	279	956
113	281	951
114	282	946
115	284	941
116	286	938
117	289	936
118	291	932
119	293	928
120	294	923
121	296	918
122	298	914
123	300	910
124	302	908
125	305	905
126	307	902
127	309	899
128	311	894
129	312	890
130	315	887
131	317	885
132	319	882
133	322	879
134	324	876
135	326	874
136	328	870
137	330	865
138	331	861
139	333	858
140	336	856
141	339	854
142	340	850
143	342	846
144	344	842
145	345	838
146	347	834
147	349	830
148	351	827
149	353	824
150	355	821
151	357	817
152	358	814
153	361	811
154	363	808
155	365	805
156	367	802
157	369	799
158	371	796
159	373	794
160	375	791
161	377	788
162	380	785
163	382	784
164	385	781
165	386	778
166	388	774
167	391	772
168	393	770
169	395	767
170	397	764
171	399	761
172	401	759
173	403	756
174	405	753
175	407	750
176	409	747
177	411	744
178	413	741
179	415	738
180	418	737
181	420	735
182	422	731
183	424	728
184	426	725
185	428	722
186	429	719
187	431	716
188	434	714
189	436	712
190	438	709
191	440	706
192	442	703
193	443	699
194	445	696
195	447	693
196	449	691
197	451	688
198	453	685
199	455	683
200	457	679
201	458	676
202	460	673
203	462	670
204	464	667
205	466	665
206	468	662
207	470	660
208	472	658
209	474	655
210	476	652
211	478	649
212	479	646
213	482	644
214	483	641
215	485	638
216	487	635
217	489	632
218	490	629
219	492	626
220	494	624
221	496	621
222	497	618
223	499	616
224	501	613
225	503	610
226	505	607
227	507	604
228	509	602
229	510	599
230	512	597
231	514	594
232	516	591
233	518	588
234	519	586
235	521	583
236	523	580
237	524	577
238	526	574
239	527	571
240	529	569
241	531	566
242	533	563
243	534	561
244	536	558
245	538	556
246	540	553
247	542	550
248	543	548
249	545	545
250	547	543
251	549	540
252	550	537
253	552	535
254	555	533
255	556	530
256	558	528
257	559	525
258	561	522
259	563	519
260	565	517
261	567	515
262	568	512
263	570	510
264	572	507
265	573	504
266	575	502
267	576	499
268	578	496
269	580	494
270	582	492
271	583	489
272	585	486
273	587	484
274	588	481
275	590	479
276	592	476
277	594	474
278	595	471
279	597	469
280	599	466
281	600	464
282	602	461
283	603	459
284	605	456
285	607	454
286	609	452
287	611	449
288	613	447
289	614	445
290	617	443
291	618	440
292	620	438
293	622	436
294	623	433
295	625	431
296	626	428
297	628	426
298	630	424
299	632	421
300	634	419
301	636	417
302	638	414
303	639	412
304	641	410
305	643	407
306	645	405
307	647	403
308	648	400
309	650	398
310	651	396
311	653	393
312	655	391
313	656	388
314	658	386
315	659	384
316	662	382
317	664	380
318	665	377
319	667	375
320	669	373
321	670	370
322	672	368
323	674	366
324	676	364
325	678	362
326	680	359
327	681	357
328	683	355
329	685	353
330	686	350
331	688	348
332	690	346
333	691	343
334	693	341
335	695	339
336	697	337
337	698	334
338	700	332
339	702	330
340	704	328
341	706	326
342	707	323
343	709	321
344	711	319
345	712	317
346	714	315
347	716	313
348	718	310
349	720	308
350	722	306
351	724	304
352	725	302
353	727	300
354	729	297
355	731	295
356	733	293
357	735	291
358	736	289
359	738	287
360	740	285
361	742	283
362	744	281
363	746	278
364	748	276
365	750	274
366	752	272
367	754	270
368	755	268
369	757	266
370	759	264
371	762	262
372	764	260
373	765	258
374	768	256
375	769	253
376	771	251
377	773	249
378	775	247
379	777	245
380	779	243
381	782	241
382	783	239
383	785	237
384	787	235
385	789	233
386	791	231
387	793	229
388	795	227
389	797	225
390	800	223
391	801	220
392	803	218
393	805	216
394	806	214
395	808	212
396	810	210
