,RF_importance,XGBoost_importance,CatBoost_importance
pass_rate_sem2,0.08796030644599823,0.05061598701174673,0.13849960611597015
Curricular units 2nd sem (approved),0.06885270801746061,0.028268551236749116,0.030115168863021232
Curricular units 2nd sem (grade),0.06227178005889433,0.04755992741858466,0.04198099206609798
pass_rate_sem1,0.06064776499416426,0.043262343615700506,0.06937678191228688
Curricular units 1st sem (grade),0.04840952717629826,0.04536338458599943,0.037756948553108655
Admission grade,0.040757259198875795,0.0753509693439022,0.05625547927245793
Curricular units 1st sem (approved),0.039182200259082825,0.015662305414955592,0.011170229131235752
Previous qualification (grade),0.036919657689491014,0.060166173240378186,0.04857392605928988
Curricular units 2nd sem (evaluations),0.03529808779722614,0.03944226912424792,0.0350994613736707
grade_trend,0.03158261822543332,0.0504249832871741,0.03561270605340004
Curricular units 1st sem (evaluations),0.031274972712358344,0.018813866870403973,0.02361014897996564
no_eval_sem2,0.02727161691409069,0.014898290516665075,0.02381870298195487
Tuition fees up to date,0.02480218311048264,0.024734982332155476,0.035013335347000324
GDP,0.024569156581043097,0.03724572629166269,0.03799251139032483
Unemployment rate,0.02311685458304495,0.03418966669850062,0.0328530240262899
Inflation rate,0.022343999166055062,0.020341896666985007,0.022996085585132178
family_edu_capital,0.01897005075901781,0.02979658103333015,0.017156450385599754
economic_stress,0.017272916241741362,0.012797249546366154,0.022225751267073657
Curricular units 2nd sem (enrolled),0.015115724100219692,0.006685130360042021,0.01974388482703487
Application order,0.014801702208627868,0.01776334638525451,0.017695370255699668
Curricular units 1st sem (enrolled),0.014452855414602426,0.020532900391557637,0.010995410212795364
Scholarship holder,0.01293602416017049,0.016808327762391367,0.022738131867556577
no_eval_sem1,0.009492395125557166,0.0005730111737178875,0.0006252392658240264
Gender,0.009209944661550045,0.00935918250405883,0.012182863370288163
Displaced,0.008063686449718744,0.012701747684079839,0.013993643860184176
Mother_occ_grouped_4,0.007755130299702161,0.002674052144016808,0.008993970501720697
Mother_occ_grouped_3,0.007620946402836084,0.007544647120618852,0.009393125842533157
age_group_1,0.007429867703864667,0.010505204851494605,0.007573954592571037
Father_occ_grouped_4,0.00734902750227808,0.004011078216025213,0.008283689323294595
Application mode_39,0.0072760724469243115,0.006780632222328335,0.006728178428983174
Father_occ_grouped_3,0.007217471104008381,0.0043930856651704705,0.005738907651232403
Curricular units 1st sem (credited),0.007201813583294033,0.012319740234934581,0.00453361960691538
Father_qual_grouped_2,0.007007237992159335,0.004106580078311527,0.008318513101483932
Mother_qual_grouped_2,0.006997397102273856,0.0059211154617515045,0.005488983583021245
Debtor,0.006620893110047671,0.005252602425747302,0.004808000939333017
Father_qual_grouped_1,0.0065525396475542156,0.00229204469487155,0.004200539502341627
Application mode_17,0.006258341011444208,0.001623531658867348,0.0038743798042888515
prev_qual_ordinal,0.006255057098821135,0.011746729061216694,0.005562477754172653
Mother_qual_grouped_1,0.005724937305726539,0.00687613408461465,0.006371089319343793
Curricular units 2nd sem (credited),0.005721922257736991,0.010314201126921975,0.004621140133291808
Course_9238,0.005403074974556536,0.011555725336644064,0.009495306872324983
Mother_qual_grouped_4,0.004649695414097597,0.0012415242097220897,0.0038880568996036854
Curricular units 1st sem (without evaluations),0.0042105571542967665,0.006685130360042021,0.0007321275384490865
Father_occ_grouped_1,0.004161750620258938,0.001623531658867348,0.0017121104741717591
Course_9853,0.004129192908339244,0.013465762582370356,0.007850949200200515
Application mode_43,0.004117135258697518,0.007544647120618852,0.005130991953761856
Course_9119,0.003981899030929472,0.011364721612071435,0.005479989912637085
age_group_2,0.0038747102866609454,0.00229204469487155,0.00227109633726758
Father_qual_grouped_4,0.003731919179157524,0.0014325279342947187,0.001073345790772377
Mother_occ_grouped_2,0.0036715442729937323,0.005348104288033616,0.001797491680135861
Course_9773,0.0036300530555012384,0.0059211154617515045,0.0035366530968483057
Curricular units 2nd sem (without evaluations),0.003602752809433736,0.006398624773183077,0.0011395712295362002
Course_9500,0.0035415793029706763,0.0030560595931620666,0.004050703609511636
