n_estimators,max_depth,min_samples_leaf,max_features,class_weight,bootstrap,oob_score,oob_accuracy,oob_macro_f1,oob_score_value
300,20.0,5,sqrt,balanced,True,True,0.7687338501291989,0.7232934625649535,0.7687338501291989
500,20.0,5,log2,balanced,True,True,0.7667958656330749,0.7227131219647033,0.7667958656330749
500,20.0,5,sqrt,balanced,True,True,0.7684108527131783,0.7223695252983334,0.7684108527131783
500,10.0,2,sqrt,balanced,True,True,0.7655038759689923,0.7220682759697028,0.7655038759689923
100,,5,log2,balanced,True,True,0.7655038759689923,0.7213989678161807,0.7655038759689923
300,,5,sqrt,balanced,True,True,0.7674418604651163,0.7211240838318541,0.7674418604651163
500,,5,sqrt,balanced,True,True,0.7674418604651163,0.7209671378802563,0.7674418604651163
500,,5,log2,balanced,True,True,0.7648578811369509,0.7204941986495385,0.7648578811369509
500,20.0,5,0.5,balanced,True,True,0.7687338501291989,0.7203207290529807,0.7687338501291989
300,10.0,2,sqrt,balanced,True,True,0.7642118863049095,0.7198270869745839,0.7642118863049095
500,10.0,2,log2,balanced,True,True,0.7616279069767442,0.7195626964803571,0.7616279069767442
300,20.0,5,log2,balanced,True,True,0.7645348837209303,0.7194160205671047,0.7645348837209303
500,,5,0.5,balanced,True,True,0.7674418604651163,0.7190559730937759,0.7674418604651163
300,10.0,5,0.5,balanced,True,True,0.7603359173126615,0.7182376866058157,0.7603359173126615
300,,5,log2,balanced,True,True,0.7629198966408268,0.7178714487973309,0.7629198966408268
300,10.0,2,0.5,balanced,True,True,0.7635658914728682,0.7178296816316593,0.7635658914728682
300,10.0,2,log2,balanced,True,True,0.7613049095607235,0.7177578667200627,0.7613049095607235
500,10.0,5,0.5,balanced,True,True,0.7606589147286822,0.7176661412571333,0.7606589147286822
100,20.0,5,log2,balanced,True,True,0.7632428940568475,0.7172093219640424,0.7632428940568475
100,10.0,5,sqrt,balanced,True,True,0.7587209302325582,0.7169325965237888,0.7587209302325582
500,10.0,1,sqrt,balanced,True,True,0.7625968992248062,0.7165737707331283,0.7625968992248062
500,10.0,1,log2,balanced,True,True,0.7622739018087855,0.7164769152400149,0.7622739018087855
300,20.0,2,sqrt,balanced,True,True,0.7758397932816538,0.7160761212045847,0.7758397932816538
300,,2,sqrt,balanced,True,True,0.7777777777777778,0.7154073384761861,0.7777777777777778
500,10.0,2,0.5,balanced,True,True,0.7619509043927648,0.7153932386831863,0.7619509043927648
300,20.0,2,log2,balanced,True,True,0.7748708010335917,0.7152958613708029,0.7748708010335917
300,10.0,1,sqrt,balanced,True,True,0.7613049095607235,0.715194570575122,0.7613049095607235
500,20.0,2,sqrt,balanced,True,True,0.7742248062015504,0.7149878329683864,0.7742248062015504
300,,5,0.5,balanced,True,True,0.7635658914728682,0.7148920510369919,0.7635658914728682
300,10.0,5,sqrt,balanced,True,True,0.7545219638242894,0.7144301305224978,0.7545219638242894
100,,5,sqrt,balanced,True,True,0.7613049095607235,0.7144022139988119,0.7613049095607235
500,20.0,2,log2,balanced,True,True,0.7739018087855297,0.7141780858499187,0.7739018087855297
100,,2,log2,balanced,True,True,0.7751937984496124,0.7136959666945092,0.7751937984496124
300,20.0,5,0.5,balanced,True,True,0.7622739018087855,0.7136937154477717,0.7622739018087855
300,10.0,1,log2,balanced,True,True,0.7606589147286822,0.7136902656187015,0.7606589147286822
300,,2,log2,balanced,True,True,0.773578811369509,0.7136412780937688,0.773578811369509
500,,2,sqrt,balanced,True,True,0.7751937984496124,0.7135560573071292,0.7751937984496124
500,,2,0.5,balanced,True,True,0.7751937984496124,0.7130903919070103,0.7751937984496124
500,10.0,1,0.5,balanced,True,True,0.7606589147286822,0.7128619822380112,0.7606589147286822
300,10.0,5,log2,balanced,True,True,0.7532299741602068,0.7127501461015054,0.7532299741602068
500,10.0,5,sqrt,balanced,True,True,0.7545219638242894,0.7127121374045567,0.7545219638242894
500,20.0,2,0.5,balanced,True,True,0.7729328165374677,0.7126854947295144,0.7729328165374677
100,20.0,5,0.5,balanced,True,True,0.7603359173126615,0.7125180556294045,0.7603359173126615
100,,5,0.5,balanced,True,True,0.7596899224806202,0.7113157084101246,0.7596899224806202
100,20.0,2,sqrt,balanced,True,True,0.772609819121447,0.7112345688296976,0.772609819121447
