linkage,k,silhouette,calinski_harabasz,davies_bouldin,ARI,NMI
ward,2,0.25763803291055754,980.7033422351028,1.5230763244119496,0.1611516156551454,0.17505721535655372
ward,3,0.2720098339665335,908.685470751202,1.4726765724647919,0.1485318469551614,0.1522795308080853
ward,4,0.2770499194118681,729.141185075482,1.7664461153633928,0.1756379980304795,0.15304573054894285
ward,5,0.10024551577015064,606.309999546972,2.038692048431996,0.14279340582971345,0.13314440726748838
ward,6,0.09015716187671731,535.4928594296424,1.976651732897149,0.14279713424561455,0.15548308352822562
ward,7,0.093963122822993,486.4154797354683,1.8828448732899166,0.1428490948698034,0.15471570474712082
ward,8,0.09281994513623029,447.86494394093296,1.8501665700003735,0.1422966226213964,0.15323734545222312
complete,2,0.729161630314912,68.10560187755964,0.4330201901053198,-0.0005043093999990656,0.0009189606151854797
complete,3,0.3294978903243397,373.9157600002003,1.089639038470603,-0.010799886755433814,0.0035925250268776434
complete,4,0.33280155873238987,302.3764031158114,1.0038174474011976,-0.008643654536746728,0.007406504079746505
complete,5,0.24441544522432687,262.7651808198708,1.1724340991214008,-0.00926551004528675,0.008124475611084661
complete,6,0.23445874163123429,215.24185837254143,1.2901615935045865,-0.009327025922064686,0.008485545560760924
complete,7,0.23221977489397247,355.6112077108674,1.3238434318610204,0.0654254264233455,0.08237695703771056
complete,8,0.23528863491520777,329.5710521466946,1.377785576216931,0.07693811141190333,0.08522233325082602
average,2,0.729161630314912,68.10560187755964,0.4330201901053198,-0.0005043093999990656,0.0009189606151854797
average,3,0.6332125862394566,59.49591655741503,0.5263526170768457,-0.0011742453957260535,0.002130601318448648
average,4,0.5672116216999811,80.53269145238967,0.6831811705512658,6.1306242357704e-05,0.0034557265389664115
average,5,0.5670660212002366,61.283920351871245,0.5657382170697882,6.0895877116910684e-05,0.0034543137832531794
average,6,0.5321905658865052,50.818732888495454,0.7563030022898826,6.551166246358155e-05,0.006657564632445007
average,7,0.5193794223802154,42.78699625211551,0.5612136600238463,6.510129694634413e-05,0.0066548483900098696
average,8,0.3135423276143135,37.50301353655389,0.63506307417605,0.0004597278906758777,0.007255110859350418
