feature,chi2,p_value,cramers_v
no_eval_sem2,2963.937511350433,0.0,0.8185156027202973
no_eval_sem1,2380.3845850077983,0.0,0.7335268332215341
Course_171,636.5657303425724,5.908918116733538e-139,0.37932727235597324
Tuition fees up to date,341.4872328804043,7.030554186399373e-75,0.2778303439478391
Application mode_53,329.8721408720752,2.3397784830696304e-72,0.27306451095128753
Application mode_43,260.58356535385354,2.600146068739553e-57,0.24269786271498683
economic_stress,256.1939129876239,2.334525629275604e-56,0.2406450009829971
Gender,180.8180792880513,5.443183411964545e-40,0.20216844314846688
Scholarship holder,178.1641624374352,2.0518409366472028e-39,0.20067931785826057
Application mode_39,166.15054366174786,8.334275667489518e-37,0.19379533749534317
Course_9500,138.8655217461702,7.0102755592894535e-31,0.17716978411099676
age_group_1,134.22719670570035,7.127456487932093e-30,0.17418578132642615
Application mode_7,130.1221447072182,5.550540682137273e-29,0.17150154912813326
age_group_2,119.5163524669662,1.1152027025097719e-26,0.16436377452711615
Daytime/evening attendance_1,86.62473283190809,1.5476696545377794e-19,0.139930825095524
Course_9003,85.63368427251864,2.540280811498158e-19,0.13912806837804326
Application mode_51,78.6275620367053,8.438045074549673e-18,0.13331525441875766
Application mode_17,70.36272312921389,5.25931044104613e-16,0.12611413349638423
Application mode_42,67.9458378846575,1.7609570727457391e-15,0.12392926390213099
Debtor,63.78934311784297,1.4070843730917888e-14,0.12007884608116919
Displaced,56.78053358046555,4.680193328991096e-13,0.11329015618867919
Marital status_2,53.21902091019256,2.7773872866170317e-12,0.10967960584406121
age_group_3,51.22063633459534,7.543625851771428e-12,0.10760065762943305
Course_9991,45.3654894634396,1.4093184210882e-10,0.10126403800998017
Course_9119,42.42685723310803,6.12526679216364e-10,0.09792935005615241
Course_8014,40.30866442835867,1.7663824167527096e-09,0.09545345337115313
Course_9773,29.710933630988308,3.5347014327780006e-07,0.08195030805756454
Course_9238,27.522695372707588,1.055656524632336e-06,0.07887473670112438
Application mode_99,26.97002228746378,1.3916629712366686e-06,0.07807879344234417
Mother_qual_grouped_2,25.643532929334413,2.701329592040029e-06,0.07613447720150494
Mother_occ_grouped_3,24.338655702713393,5.187141146613517e-06,0.07417212720151053
Father_qual_grouped_2,24.242275979414533,5.44322963850937e-06,0.07402512277502019
Course_9670,16.067952758444598,0.00032425627609634146,0.060266048110043886
Father_occ_grouped_4,15.615527807747977,0.0004065661531363756,0.059411535219366755
Application mode_44,15.575433351183362,0.0004147989240173389,0.05933521361603593
Course_9070,14.272487923942641,0.0007957353024985533,0.056799208385539354
Course_9853,10.879920411692732,0.004339655960238859,0.04959127795223642
Father_occ_grouped_3,10.084313628279165,0.0064598006930049814,0.04774364946522627
Course_9556,8.766102438713377,0.012487199250310776,0.04451390673731519
Course_9130,7.893544676560584,0.019316949843043628,0.042240444195164824
Course_9085,7.811694849436762,0.020123893778456716,0.04202087348738754
Mother_occ_grouped_4,7.805120565859783,0.020190152712235752,0.04200318748630747
Mother_qual_grouped_1,7.628761300840325,0.02205136773047154,0.04152593826772057
Father_occ_grouped_2,7.316579331812607,0.025776561578581398,0.040667407152146264
Course_9254,7.219757759635781,0.027055123589403898,0.040397431568277874
Father_qual_grouped_1,6.774021174179824,0.03380959682398379,0.03913052869897444
Mother_occ_grouped_2,6.642584781257026,0.03610613835264971,0.03874904414984262
Father_qual_grouped_4,5.7841992485302125,0.055459645862931145,0.036158804501490255
Marital status_4,5.127979757792074,0.07699691838556229,0.03404596057815062
Father_qual_grouped_3,4.885485734932865,0.0869221083681705,0.033231222297451755
Marital status_5,4.6472171017635375,0.09791959944303492,0.03241073811632377
Mother_occ_grouped_1,3.933041073113138,0.13994293640691535,0.029816501315608663
Application mode_18,3.8643042911453387,0.1448361543335363,0.029554805081804365
Mother_qual_grouped_3,3.79181371526513,0.15018207950847423,0.02927628305270002
Educational special needs,3.523272143262757,0.1717636162353604,0.02822055404699613
Marital status_6,3.4053356031770416,0.18219681017376846,0.027744212383675096
Mother_qual_grouped_4,2.6880534363947937,0.26079340985823335,0.02464968590996535
Marital status_3,2.2691964848923334,0.3215512810433136,0.022647928846442653
Application mode_5,1.9236045816704022,0.3822034231287691,0.020852126083976713
Nacionality_grouped_3,1.4921367471558495,0.47422737719697206,0.018365246160510138
Application mode_16,1.317672593643646,0.5174531461294353,0.01725822780979089
Nacionality_grouped_1,1.1251974070522417,0.5697265879324298,0.015948021122518183
Nacionality_grouped_2,1.0201568108175132,0.6004484985566501,0.015185388508201149
Course_9147,0.933656435509068,0.6269877865318216,0.014527336234861212
Application mode_15,0.25915368480275697,0.8784670823024776,0.007653694707586279
Father_occ_grouped_1,0.12296651873907724,0.9403686879723636,0.005272127199932568
