n_estimators,max_depth,min_samples_leaf,max_features,class_weight,bootstrap,oob_score,val_accuracy,val_macro_f1,oob_score_value
300,,5,log2,balanced,True,True,0.748868778280543,0.7020788090656026,0.7629198966408268
300,20.0,5,log2,balanced,True,True,0.748868778280543,0.7008103813911436,0.7645348837209303
300,,2,0.5,balanced,True,True,0.7601809954751131,0.7001789046345382,0.770671834625323
500,,5,sqrt,balanced,True,True,0.746606334841629,0.6982909302777238,0.7674418604651163
300,,2,log2,balanced,True,True,0.7579185520361991,0.6975960174799277,0.773578811369509
300,10.0,1,0.5,balanced,True,True,0.7420814479638009,0.697101289498726,0.7590439276485789
100,,1,0.5,balanced,True,True,0.7624434389140271,0.6943866796301651,0.7613049095607235
300,,5,0.5,balanced,True,True,0.744343891402715,0.6940060038208253,0.7635658914728682
500,,5,log2,balanced,True,True,0.7420814479638009,0.6939932373014873,0.7648578811369509
300,10.0,2,sqrt,balanced,True,True,0.7398190045248869,0.6936275984584747,0.7642118863049095
100,,2,sqrt,balanced,True,True,0.7579185520361991,0.6934471418499637,0.770671834625323
500,10.0,2,sqrt,balanced,True,True,0.7420814479638009,0.693216453924788,0.7655038759689923
100,,5,sqrt,balanced,True,True,0.744343891402715,0.69297533154676,0.7613049095607235
500,,2,0.5,balanced,True,True,0.753393665158371,0.6923497329643951,0.7751937984496124
500,,2,log2,balanced,True,True,0.755656108597285,0.6923425118158159,0.771640826873385
500,20.0,5,sqrt,balanced,True,True,0.7420814479638009,0.6923223867287794,0.7684108527131783
100,,2,0.5,balanced,True,True,0.753393665158371,0.691978275022609,0.7684108527131783
500,10.0,1,sqrt,balanced,True,True,0.7420814479638009,0.6918689136266462,0.7625968992248062
500,20.0,5,log2,balanced,True,True,0.7398190045248869,0.6914519454639106,0.7667958656330749
300,20.0,1,0.5,balanced,True,True,0.7601809954751131,0.6909834355045845,0.7677648578811369
500,20.0,1,0.5,balanced,True,True,0.7601809954751131,0.6900896083831433,0.7713178294573644
300,20.0,5,0.5,balanced,True,True,0.7398190045248869,0.6897501363445636,0.7622739018087855
500,20.0,2,0.5,balanced,True,True,0.753393665158371,0.6897492559127795,0.7729328165374677
